 # Test of the spline interpolation (output from subroutine SPLERR)
 #        x                y(x)          y_spline(x)      rel.dif.
   5.5543489055E-08 -4.3532412053E-02 -4.3532412053E-02  3.3307E-15
   5.6122293198E-08 -4.3986051845E-02 -4.3986051845E-02  8.8818E-16
   5.6707128908E-08 -4.4444418897E-02 -4.4444418897E-02  2.6645E-15
   5.7298059038E-08 -4.4907562470E-02 -4.4907562470E-02  4.2188E-15
   5.7895147095E-08 -4.5375532339E-02 -4.5375532339E-02  3.7748E-15
   5.8498457251E-08 -4.5848378796E-02 -4.5848378796E-02  1.7764E-15
   5.9108054344E-08 -4.6326152661E-02 -4.6326152661E-02  4.6629E-15
   5.9724003888E-08 -4.6808905279E-02 -4.6808905279E-02  3.3307E-15
   6.0346372081E-08 -4.7296688533E-02 -4.7296688533E-02  2.3315E-15
   6.0975225810E-08 -4.7789554846E-02 -4.7789554846E-02  1.1102E-15
   6.1610632659E-08 -4.8287557187E-02 -4.8287557187E-02  2.6645E-15
   6.2252660916E-08 -4.8790749077E-02 -4.8790749077E-02  1.6653E-15
   6.2901379581E-08 -4.9299184596E-02 -4.9299184596E-02  2.2204E-16
   6.3556858374E-08 -4.9812918384E-02 -4.9812918384E-02  3.5527E-15
   6.4219167739E-08 -5.0332005655E-02 -5.0332005655E-02  4.4409E-16
   6.4888378857E-08 -5.0856502196E-02 -5.0856502196E-02  4.6629E-15
   6.5564563648E-08 -5.1386464374E-02 -5.1386464374E-02  1.1102E-15
   6.6247794784E-08 -5.1921949145E-02 -5.1921949145E-02  8.6597E-15
   6.6938145692E-08 -5.2463014060E-02 -5.2463014060E-02  8.8818E-16
   6.7635690567E-08 -5.3009717267E-02 -5.3009717267E-02  3.3307E-15
   6.8340504373E-08 -5.3562117522E-02 -5.3562117522E-02  1.4433E-15
   6.9052662860E-08 -5.4120274191E-02 -5.4120274191E-02  1.6653E-15
   6.9772242563E-08 -5.4684247260E-02 -5.4684247260E-02  5.3291E-15
   7.0499320819E-08 -5.5254097341E-02 -5.5254097341E-02  5.9952E-15
   7.1233975766E-08 -5.5829885676E-02 -5.5829885676E-02  3.3307E-15
   7.1976286359E-08 -5.6411674147E-02 -5.6411674147E-02  4.3299E-15
   7.2726332377E-08 -5.6999525278E-02 -5.6999525278E-02  2.2204E-16
   7.3484194428E-08 -5.7593502248E-02 -5.7593502248E-02  6.4393E-15
   7.4249953961E-08 -5.8193668891E-02 -5.8193668891E-02  5.5511E-16
   7.5023693273E-08 -5.8800089709E-02 -5.8800089709E-02  3.9968E-15
   7.5805495520E-08 -5.9412829874E-02 -5.9412829874E-02  3.1086E-15
   7.6595444723E-08 -6.0031955239E-02 -6.0031955239E-02  2.2204E-15
   7.7393625779E-08 -6.0657532342E-02 -6.0657532342E-02  1.4433E-15
   7.8200124472E-08 -6.1289628414E-02 -6.1289628414E-02  4.4409E-15
   7.9015027475E-08 -6.1928311389E-02 -6.1928311389E-02  1.9984E-15
   7.9838422370E-08 -6.2573649906E-02 -6.2573649906E-02  1.3323E-15
   8.0670397647E-08 -6.3225713320E-02 -6.3225713320E-02  4.4409E-16
   8.1511042720E-08 -6.3884571710E-02 -6.3884571710E-02  6.6613E-16
   8.2360447935E-08 -6.4550295885E-02 -6.4550295885E-02  1.7764E-15
   8.3218704580E-08 -6.5222957390E-02 -6.5222957390E-02  8.8818E-16
   8.4085904891E-08 -6.5902628518E-02 -6.5902628518E-02  5.1070E-15
   8.4962142071E-08 -6.6589382313E-02 -6.6589382313E-02  6.6613E-16
   8.5847510288E-08 -6.7283292583E-02 -6.7283292583E-02  7.7716E-16
   8.6742104695E-08 -6.7984433903E-02 -6.7984433903E-02  1.8874E-15
   8.7646021436E-08 -6.8692881625E-02 -6.8692881625E-02  2.7756E-15
   8.8559357657E-08 -6.9408711887E-02 -6.9408711887E-02  2.2204E-16
   8.9482211515E-08 -7.0132001621E-02 -7.0132001621E-02
   9.0414682191E-08 -7.0862828559E-02 -7.0862828559E-02  2.8866E-15
   9.1356869900E-08 -7.1601271244E-02 -7.1601271244E-02  2.6645E-15
   9.2308875900E-08 -7.2347409039E-02 -7.2347409039E-02  1.7764E-15
   9.3270802505E-08 -7.3101322131E-02 -7.3101322131E-02  9.9920E-16
   9.4242753095E-08 -7.3863091544E-02 -7.3863091544E-02  5.7732E-15
   9.5224832128E-08 -7.4632799146E-02 -7.4632799146E-02  1.1102E-15
   9.6217145149E-08 -7.5410527660E-02 -7.5410527660E-02
   9.7219798803E-08 -7.6196360669E-02 -7.6196360669E-02  3.1086E-15
   9.8232900849E-08 -7.6990382627E-02 -7.6990382627E-02  6.6613E-16
   9.9256560166E-08 -7.7792678869E-02 -7.7792678869E-02  5.6621E-15
   1.0029088677E-07 -7.8603335618E-02 -7.8603335618E-02  1.3323E-15
   1.0133599182E-07 -7.9422439997E-02 -7.9422439997E-02  4.6629E-15
   1.0239198763E-07 -8.0250080036E-02 -8.0250080036E-02  9.9920E-16
   1.0345898770E-07 -8.1086344682E-02 -8.1086344682E-02  3.9968E-15
   1.0453710670E-07 -8.1931323811E-02 -8.1931323811E-02  3.1086E-15
   1.0562646049E-07 -8.2785108232E-02 -8.2785108232E-02  1.6653E-15
   1.0672716616E-07 -8.3647789703E-02 -8.3647789703E-02  1.9984E-15
   1.0783934199E-07 -8.4519460938E-02 -8.4519460938E-02  8.8818E-16
   1.0896310751E-07 -8.5400215616E-02 -8.5400215616E-02  7.7716E-16
   1.1009858350E-07 -8.6290148392E-02 -8.6290148392E-02  4.2188E-15
   1.1124589198E-07 -8.7189354909E-02 -8.7189354909E-02
   1.1240515627E-07 -8.8097931806E-02 -8.8097931806E-02  3.5527E-15
   1.1357650095E-07 -8.9015976728E-02 -8.9015976728E-02  2.4425E-15
   1.1476005190E-07 -8.9943588339E-02 -8.9943588339E-02  3.9968E-15
   1.1595593632E-07 -9.0880866329E-02 -9.0880866329E-02  3.3307E-16
   1.1716428275E-07 -9.1827911430E-02 -9.1827911430E-02  2.2204E-16
   1.1838522104E-07 -9.2784825421E-02 -9.2784825421E-02  2.6645E-15
   1.1961888240E-07 -9.3751711142E-02 -9.3751711142E-02  2.2204E-15
   1.2086539943E-07 -9.4728672507E-02 -9.4728672507E-02  2.8866E-15
   1.2212490608E-07 -9.5715814509E-02 -9.5715814509E-02  5.5511E-16
   1.2339753772E-07 -9.6713243239E-02 -9.6713243239E-02  3.8858E-15
   1.2468343112E-07 -9.7721065890E-02 -9.7721065890E-02  6.6613E-16
   1.2598272448E-07 -9.8739390774E-02 -9.8739390774E-02  5.5511E-16
   1.2729555744E-07 -9.9768327332E-02 -9.9768327332E-02  1.2212E-15
   1.2862207109E-07 -1.0080798614E-01 -1.0080798614E-01  3.3307E-15
   1.2996240798E-07 -1.0185847894E-01 -1.0185847894E-01  4.6629E-15
   1.3131671218E-07 -1.0291991863E-01 -1.0291991863E-01  1.6653E-15
   1.3268512922E-07 -1.0399241927E-01 -1.0399241927E-01  1.5543E-15
   1.3406780618E-07 -1.0507609614E-01 -1.0507609614E-01  2.8866E-15
   1.3546489166E-07 -1.0617106569E-01 -1.0617106569E-01  2.4425E-15
   1.3687653579E-07 -1.0727744560E-01 -1.0727744560E-01  1.7764E-15
   1.3830289030E-07 -1.0839535477E-01 -1.0839535477E-01  9.9920E-16
   1.3974410848E-07 -1.0952491336E-01 -1.0952491336E-01  5.1070E-15
   1.4120034521E-07 -1.1066624274E-01 -1.1066624274E-01  2.2204E-16
   1.4267175700E-07 -1.1181946559E-01 -1.1181946559E-01  2.2204E-16
   1.4415850199E-07 -1.1298470584E-01 -1.1298470584E-01  4.8850E-15
   1.4566073996E-07 -1.1416208872E-01 -1.1416208872E-01  1.4433E-15
   1.4717863236E-07 -1.1535174076E-01 -1.1535174076E-01  4.4409E-16
   1.4871234232E-07 -1.1655378981E-01 -1.1655378981E-01  2.8866E-15
   1.5026203467E-07 -1.1776836506E-01 -1.1776836506E-01  6.6613E-16
   1.5182787595E-07 -1.1899559705E-01 -1.1899559705E-01  2.8866E-15
   1.5341003446E-07 -1.2023561766E-01 -1.2023561766E-01
   1.5500868023E-07 -1.2148856016E-01 -1.2148856016E-01  1.1102E-15
   1.5662398506E-07 -1.2275455919E-01 -1.2275455919E-01  1.7764E-15
   1.5825612256E-07 -1.2403375083E-01 -1.2403375083E-01  1.9984E-15
   1.5990526815E-07 -1.2532627255E-01 -1.2532627255E-01  8.8818E-16
   1.6157159904E-07 -1.2663226324E-01 -1.2663226324E-01  4.4409E-16
   1.6325529433E-07 -1.2795186328E-01 -1.2795186328E-01  3.9968E-15
   1.6495653497E-07 -1.2928521447E-01 -1.2928521447E-01  3.3307E-15
   1.6667550379E-07 -1.3063246011E-01 -1.3063246011E-01  6.6613E-16
   1.6841238554E-07 -1.3199374499E-01 -1.3199374499E-01  5.2180E-15
   1.7016736687E-07 -1.3336921541E-01 -1.3336921541E-01  1.7764E-15
   1.7194063641E-07 -1.3475901919E-01 -1.3475901919E-01  6.6613E-16
   1.7373238472E-07 -1.3616330569E-01 -1.3616330569E-01  1.9984E-15
   1.7554280437E-07 -1.3758222583E-01 -1.3758222583E-01  4.4409E-16
   1.7737208994E-07 -1.3901593211E-01 -1.3901593211E-01  1.1102E-15
   1.7922043800E-07 -1.4046457860E-01 -1.4046457860E-01  3.9968E-15
   1.8108804722E-07 -1.4192832099E-01 -1.4192832099E-01  2.2204E-16
   1.8297511830E-07 -1.4340731658E-01 -1.4340731658E-01  2.6645E-15
   1.8488185406E-07 -1.4490172433E-01 -1.4490172433E-01  5.5511E-16
   1.8680845941E-07 -1.4641170484E-01 -1.4641170484E-01  3.3307E-15
   1.8875514141E-07 -1.4793742038E-01 -1.4793742038E-01  5.6621E-15
   1.9072210927E-07 -1.4947903493E-01 -1.4947903493E-01  2.2204E-15
   1.9270957439E-07 -1.5103671416E-01 -1.5103671416E-01  1.3323E-15
   1.9471775037E-07 -1.5261062547E-01 -1.5261062547E-01  4.2188E-15
   1.9674685302E-07 -1.5420093802E-01 -1.5420093802E-01  2.4425E-15
   1.9879710041E-07 -1.5580782271E-01 -1.5580782271E-01  1.1102E-15
   2.0086871290E-07 -1.5743145223E-01 -1.5743145223E-01  1.1102E-15
   2.0296191311E-07 -1.5907200107E-01 -1.5907200107E-01  4.8850E-15
   2.0507692602E-07 -1.6072964555E-01 -1.6072964555E-01  1.7764E-15
   2.0721397892E-07 -1.6240456381E-01 -1.6240456381E-01  8.8818E-16
   2.0937330150E-07 -1.6409693585E-01 -1.6409693585E-01  5.3291E-15
   2.1155512580E-07 -1.6580694355E-01 -1.6580694355E-01  8.8818E-16
   2.1375968633E-07 -1.6753477069E-01 -1.6753477069E-01  7.3275E-15
   2.1598722000E-07 -1.6928060294E-01 -1.6928060294E-01  1.7764E-15
   2.1823796622E-07 -1.7104462794E-01 -1.7104462794E-01  3.7748E-15
   2.2051216687E-07 -1.7282703526E-01 -1.7282703526E-01  6.2172E-15
   2.2281006637E-07 -1.7462801646E-01 -1.7462801646E-01  9.9920E-16
   2.2513191169E-07 -1.7644776508E-01 -1.7644776508E-01  2.4425E-15
   2.2747795234E-07 -1.7828647669E-01 -1.7828647669E-01  2.4425E-15
   2.2984844047E-07 -1.8014434891E-01 -1.8014434891E-01  2.4425E-15
   2.3224363083E-07 -1.8202158138E-01 -1.8202158138E-01  1.3323E-15
   2.3466378085E-07 -1.8391837585E-01 -1.8391837585E-01  5.9952E-15
   2.3710915061E-07 -1.8583493617E-01 -1.8583493617E-01  1.7764E-15
   2.3958000293E-07 -1.8777146832E-01 -1.8777146832E-01  1.8874E-15
   2.4207660336E-07 -1.8972818040E-01 -1.8972818040E-01  3.5527E-15
   2.4459922020E-07 -1.9170528269E-01 -1.9170528269E-01  1.1102E-15
   2.4714812457E-07 -1.9370298769E-01 -1.9370298769E-01  1.1102E-15
   2.4972359041E-07 -1.9572151007E-01 -1.9572151007E-01  5.5511E-16
   2.5232589450E-07 -1.9776106677E-01 -1.9776106677E-01  1.6653E-15
   2.5495531653E-07 -1.9982187697E-01 -1.9982187697E-01  1.6653E-15
   2.5761213907E-07 -2.0190416213E-01 -2.0190416213E-01  2.2204E-16
   2.6029664766E-07 -2.0400814606E-01 -2.0400814606E-01  1.6653E-15
   2.6300913081E-07 -2.0613405484E-01 -2.0613405484E-01  5.3291E-15
   2.6574988003E-07 -2.0828211695E-01 -2.0828211695E-01  1.8874E-15
   2.6851918989E-07 -2.1045256324E-01 -2.1045256324E-01  2.2204E-16
   2.7131735800E-07 -2.1264562696E-01 -2.1264562696E-01  9.9920E-16
   2.7414468509E-07 -2.1486154379E-01 -2.1486154379E-01  1.1102E-16
   2.7700147501E-07 -2.1710055187E-01 -2.1710055187E-01  7.5495E-15
   2.7988803479E-07 -2.1936289183E-01 -2.1936289183E-01  3.1086E-15
   2.8280467465E-07 -2.2164880678E-01 -2.2164880678E-01  5.9952E-15
   2.8575170805E-07 -2.2395854240E-01 -2.2395854240E-01  6.7724E-15
   2.8872945172E-07 -2.2629234690E-01 -2.2629234690E-01  2.7756E-15
   2.9173822567E-07 -2.2865047109E-01 -2.2865047109E-01  1.1102E-15
   2.9477835326E-07 -2.3103316838E-01 -2.3103316838E-01  4.4409E-16
   2.9785016123E-07 -2.3344069485E-01 -2.3344069485E-01  1.2212E-15
   3.0095397971E-07 -2.3587330921E-01 -2.3587330921E-01  1.5543E-15
   3.0409014226E-07 -2.3833127290E-01 -2.3833127290E-01  6.7724E-15
   3.0725898594E-07 -2.4081485007E-01 -2.4081485007E-01  3.3307E-15
   3.1046085131E-07 -2.4332430760E-01 -2.4332430760E-01  3.6637E-15
   3.1369608249E-07 -2.4585991520E-01 -2.4585991520E-01  3.5527E-15
   3.1696502715E-07 -2.4842194534E-01 -2.4842194534E-01  1.1102E-15
